team1_rating,team2_rating,team1_form,team2_form,rating_difference,team1_home,team2_home,neutral_venue,team1_won_toss,toss_bat,format_test,format_odi,format_t20,weather_sunny,weather_cloudy,weather_overcast,weather_humid,pitch_batting_paradise,pitch_batting_friendly,pitch_balanced,pitch_bowling_friendly,pitch_green_seamer,pitch_spin_friendly,team1_won
85,72,19,5,13,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
85,81,18,7,4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
81,80,7,19,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
81,70,1,6,11,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
82,88,18,10,-6,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
85,82,7,9,3,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
72,68,1,2,4,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
85,88,10,3,-3,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
72,65,6,17,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
72,81,0,19,-9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
68,78,16,7,-10,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
81,78,19,16,3,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
72,88,9,14,-16,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
72,81,17,20,-9,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
81,80,8,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
72,88,1,8,-16,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
88,81,17,13,7,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
82,65,20,19,17,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
68,78,12,15,-10,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
72,88,13,4,-16,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
80,82,12,10,-2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
82,78,11,17,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
68,82,18,18,-14,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
78,88,19,0,-10,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
82,78,17,14,4,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
88,82,15,11,6,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
72,70,16,3,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
72,68,9,14,4,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
85,72,4,17,13,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
70,81,9,19,-11,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
78,81,8,14,-3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
88,80,9,11,8,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1
80,78,9,16,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
68,70,0,5,-2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
78,81,16,1,-3,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
65,82,19,3,-17,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
85,80,12,4,5,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
81,68,12,18,13,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
72,78,13,5,-6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
88,81,14,17,7,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
65,81,2,19,-16,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
82,65,0,7,17,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
68,65,19,1,3,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
82,80,11,10,2,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
81,88,15,12,-7,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
82,85,12,1,-3,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
68,88,15,11,-20,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
85,65,18,16,20,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
82,65,7,1,17,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
78,88,6,18,-10,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
88,80,20,0,8,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
65,82,10,10,-17,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
72,70,1,6,2,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
70,81,15,13,-11,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
80,81,8,11,-1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
85,78,13,14,7,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
78,72,6,4,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
85,88,4,18,-3,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
72,80,1,12,-8,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
78,65,19,15,13,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
78,68,4,18,10,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
88,65,20,15,23,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
82,85,14,6,-3,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
78,81,18,14,-3,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
82,70,10,6,12,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
72,65,14,19,7,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
80,72,14,1,8,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
85,78,12,20,7,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
65,80,8,18,-15,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
82,78,11,10,4,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
85,72,0,17,13,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
68,78,15,4,-10,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
72,82,14,3,-10,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
72,68,2,9,4,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
78,80,5,11,-2,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
65,82,13,3,-17,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
68,88,20,3,-20,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
68,88,14,18,-20,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
70,78,13,15,-8,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
85,70,16,7,15,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
80,70,2,0,10,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
72,85,19,20,-13,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
88,85,8,16,3,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
78,68,13,0,10,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
81,65,16,18,16,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
88,85,13,19,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
68,72,4,10,-4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
88,72,13,3,16,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
82,70,10,17,12,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
65,68,13,20,-3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
88,78,4,4,10,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
88,85,20,3,3,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
81,68,0,6,13,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
88,78,15,9,10,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
70,81,19,8,-11,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
72,65,6,3,7,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
78,68,10,9,10,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
65,82,3,11,-17,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
68,70,7,15,-2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
81,88,16,17,-7,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
70,85,9,16,-15,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
65,78,15,20,-13,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
72,85,6,5,-13,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
70,80,14,5,-10,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1
81,80,15,18,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
68,70,18,4,-2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
78,81,10,2,-3,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
78,70,0,8,8,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
68,72,2,17,-4,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
85,80,10,0,5,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
82,88,6,2,-6,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
82,68,13,17,14,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
72,82,9,14,-10,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
65,82,3,7,-17,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
85,68,17,14,17,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1
72,80,6,10,-8,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
68,78,11,10,-10,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
81,72,18,6,9,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
85,81,6,13,4,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
70,68,1,19,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
88,72,17,11,16,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
85,65,19,0,20,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
68,65,0,0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
72,88,0,4,-16,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
68,65,19,12,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
72,82,7,19,-10,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
68,88,8,10,-20,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
82,78,3,2,4,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
68,82,10,7,-14,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
72,82,6,18,-10,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
80,82,18,9,-2,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
65,78,15,6,-13,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
78,85,2,3,-7,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
68,78,16,8,-10,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
65,68,7,7,-3,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
88,85,0,8,3,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
78,70,8,5,8,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
70,80,10,3,-10,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
65,88,6,0,-23,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
70,82,5,0,-12,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
68,65,11,8,3,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
68,72,8,19,-4,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
81,88,6,8,-7,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
80,72,14,2,8,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
81,72,5,17,9,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
78,72,19,16,6,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
78,85,20,3,-7,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
88,68,5,3,20,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
70,80,12,2,-10,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
80,81,7,17,-1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
72,65,18,15,7,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
85,82,3,1,3,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
68,88,3,19,-20,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
68,78,17,14,-10,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
81,85,5,14,-4,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
72,78,16,7,-6,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
80,68,3,15,12,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
88,85,0,11,3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
78,68,1,3,10,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
82,65,7,16,17,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
80,68,5,2,12,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1
65,68,7,14,-3,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
70,81,6,0,-11,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
70,80,16,10,-10,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
85,68,14,12,17,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
81,88,11,1,-7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
72,70,14,13,2,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
78,88,3,5,-10,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
80,88,5,16,-8,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
81,65,17,1,16,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
85,68,6,7,17,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
70,81,4,7,-11,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
68,70,2,13,-2,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
88,78,10,10,10,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
65,88,2,9,-23,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
70,80,5,11,-10,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
81,68,4,3,13,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
70,80,14,2,-10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
85,65,13,9,20,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
81,72,13,19,9,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
65,85,9,12,-20,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
80,88,13,3,-8,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
68,81,15,20,-13,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
82,68,9,14,14,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1
85,80,3,14,5,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
81,78,15,7,3,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
82,72,5,16,10,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
88,80,0,9,8,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
80,82,6,5,-2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
78,65,13,14,13,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
70,80,6,16,-10,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
72,65,11,15,7,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
85,70,6,3,15,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
65,68,6,5,-3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
65,72,2,0,-7,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
81,85,6,10,-4,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
78,88,8,13,-10,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
68,81,13,20,-13,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
80,72,19,15,8,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
68,72,0,20,-4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
68,78,18,10,-10,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
68,80,10,7,-12,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
85,72,8,7,13,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
82,88,18,2,-6,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
72,78,10,12,-6,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
81,80,7,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
88,65,12,9,23,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1
70,78,5,8,-8,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
88,81,12,7,7,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
70,72,1,9,-2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
68,82,0,11,-14,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
85,80,10,19,5,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
65,72,10,14,-7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
80,78,1,8,2,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
65,88,10,7,-23,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
65,85,4,0,-20,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
81,85,6,20,-4,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
81,70,0,2,11,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
78,65,12,1,13,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
82,68,11,2,14,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
70,81,7,15,-11,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
65,72,9,16,-7,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
70,85,16,10,-15,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
88,85,11,6,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
85,80,18,12,5,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
81,80,3,4,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
80,82,1,16,-2,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
65,72,2,12,-7,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
68,70,8,8,-2,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
70,80,10,12,-10,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
82,88,8,0,-6,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
85,81,0,9,4,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
80,82,7,5,-2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
72,81,16,3,-9,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
70,88,5,12,-18,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
68,82,1,19,-14,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
81,65,20,1,16,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
78,72,19,8,6,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1
68,65,8,6,3,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1
72,80,8,0,-8,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
65,78,7,11,-13,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
72,82,0,2,-10,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
81,80,18,20,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
80,70,4,20,10,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
80,88,9,10,-8,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
65,88,0,0,-23,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
65,68,7,3,-3,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
85,65,8,10,20,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
82,85,18,13,-3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
85,65,5,9,20,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
88,65,12,0,23,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
88,72,4,4,16,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
85,82,1,19,3,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
